Cu,Fe,"1,2-NQN","1,4-NQN",PQN,•OH,PM2.5,SOA_mass,SOA_activity
1818.9042,0.0,0.0,0.0,0.0,0.309075,1946.85,0.274,0.22
0.0,487.1676,19.0802,0.0,0.0,0.718518,696.64,0.165,0.137
258.1472,294.1051,0.0,0.0,0.0,0.692093,730.76,0.161,0.169
0.0,0.0,0.0,107.3479,0.0,0.028635,565.52,0.497,0.162
979.1577,962.8813,0.0,0.0,0.0,1.697666,2414.06,0.24,0.312
8985.623,0.0,0.0,0.0,0.0,0.369942,9206.48,0.336,0.18
0.0,51.3577,19.1293,0.0,0.0,0.407535,371.37,0.232,0.231
1449.6328,0.0,0.0,0.0,0.0,0.308495,1778.67,0.313,0.368
0.0,507.5484,0.0,479.1735,0.0,1.254809,1281.4,0.221,0.234
0.0,0.0,0.0,0.0,374.6847,0.280994,866.8,0.465,0.232
0.0,0.0,160.7479,0.0,0.0,0.492452,285.13,0.101,0.316
561.0687,229.4106,14.8426,0.0,1.07,1.254151,1136.38,0.428,0.237
0.0,0.0,0.0,339.25,0.0,0.09208,822.82,0.143,0.244
0.0,0.0,343.861,0.0,0.0,0.511352,689.4,0.487,0.281
0.0,0.0,242.7948,0.0,0.0,0.517898,738.89,0.318,0.389
0.0,0.0,390.9119,0.0,0.0,0.519718,694.44,0.35,0.359
6970.3998,0.0,0.0,0.0,0.0,0.355672,7371.21,0.24,0.117
7751.5081,0.0,0.0,0.0,0.0,0.369179,8209.37,0.144,0.248
0.0,0.0,0.0,412.2358,0.0,0.114446,631.83,0.45,0.372
0.0,0.0,0.0,0.0,191.0617,0.213314,392.18,0.346,0.378
0.0,0.0,0.0,0.0,26.372,0.04379,458.93,0.216,0.386
259.9649,311.8877,0.0,0.0,0.0,0.691526,1011.1,0.142,0.164
0.0,5072.3481,0.0,0.0,0.0,2.880753,5501.0,0.289,0.394
170.4219,73.2944,0.0,0.0,0.0,0.428553,559.63,0.323,0.235
521.8762,211.9591,14.4714,0.0,1.1363,1.255536,1201.14,0.445,0.243
439.3336,434.2673,2.7252,3.3201,0.1944,1.147373,1017.96,0.459,0.227
12.7538,16.9336,0.0,0.0,0.0,0.149576,422.47,0.211,0.348
3144.1083,0.0,0.0,0.0,0.0,0.332968,3286.96,0.246,0.251
0.0,0.0,246.1627,0.0,0.0,0.5055,731.33,0.121,0.251
1041.9776,38.7599,0.0,3.7213,0.3911,0.592275,1349.0,0.34,0.297
438.0832,445.9365,2.8139,3.2566,0.2089,1.138567,985.02,0.5,0.188
1990.7707,2018.9937,0.0,0.0,0.0,2.454916,4180.97,0.168,0.119
0.0,143.7714,20.4832,0.0,0.0,0.513971,328.03,0.476,0.367
63.6317,245.9718,0.0,0.0,0.0,0.489177,596.05,0.175,0.322
67.9275,253.0915,0.0,0.0,0.0,0.487126,819.22,0.158,0.299
0.0,0.0,71.438,0.0,0.0,0.378319,506.18,0.453,0.24
63.8553,233.1973,0.0,0.0,0.0,0.488744,610.69,0.174,0.317
46.8461,73.5801,0.0,0.0,0.0,0.3169,598.2,0.145,0.115
2848.9771,0.0,0.0,0.0,0.0,0.326187,3198.32,0.309,0.208
0.0,148.7225,19.8671,0.0,0.0,0.509363,357.57,0.447,0.318
0.0,0.0,0.0,0.0,211.8851,0.221448,332.25,0.401,0.27
0.0,152.6764,20.4602,0.0,0.0,0.51054,347.74,0.441,0.33
0.0,523.9112,0.0,483.1375,0.0,1.259221,1457.37,0.25,0.253
0.0,1510.5789,0.0,0.0,0.0,1.006498,1684.24,0.429,0.227
0.0,0.0,0.0,0.0,404.1341,0.292178,855.15,0.284,0.313
0.0,50.4038,19.9674,0.0,0.0,0.40536,272.76,0.204,0.202
0.0,0.0,0.0,0.0,407.192,0.295597,632.34,0.455,0.368
90.1728,77.0812,0.0,0.0,0.0,0.385802,223.94,0.236,0.365
0.0,5264.0266,0.0,0.0,0.0,2.840646,5713.14,0.358,0.186
544.1316,224.2832,15.7497,0.0,1.0679,1.254931,908.51,0.431,0.24
2041.4275,1965.9424,0.0,0.0,0.0,2.453132,4359.61,0.149,0.115
6452.0118,0.0,0.0,0.0,0.0,0.362525,6652.09,0.259,0.261
89.0,79.0,0.0,0.0,0.0,0.386705,438.15,0.237,0.377
1000.0,2000.0,0.0,0.0,0.0,2.36401,3110.02,0.144,0.377
6625.4928,0.0,0.0,0.0,0.0,0.369732,6990.93,0.129,0.347
0.0,0.0,490.4937,0.0,0.0,0.519783,853.06,0.392,0.359
247.9071,298.4655,0.0,0.0,0.0,0.694302,1015.54,0.159,0.185
0.0,0.0,0.0,0.0,369.7346,0.285968,837.97,0.182,0.339
0.0,0.0,107.8703,0.0,0.0,0.433105,317.59,0.121,0.11
48.7579,72.4129,0.0,0.0,0.0,0.316967,606.42,0.139,0.116
0.0,2299.5461,0.0,0.0,0.0,1.486315,2396.4,0.39,0.274
5613.123,0.0,0.0,0.0,0.0,0.365883,5779.33,0.284,0.394
254.8143,302.1569,0.0,0.0,0.0,0.692945,1002.73,0.144,0.175
487.1199,488.881,0.0,498.3562,0.0,1.802597,1850.1,0.182,0.307
0.0,8441.7045,0.0,0.0,0.0,3.794767,8529.26,0.453,0.341
0.0,513.086,0.0,523.765,0.0,1.254813,1294.54,0.222,0.234
502.6421,487.6623,0.0,0.0,0.0,0.933422,1149.34,0.263,0.192
0.0,8288.8337,0.0,0.0,0.0,3.743061,8562.85,0.142,0.297
1017.5747,1046.0252,0.0,0.0,0.0,1.695221,2415.29,0.286,0.305
3745.9016,0.0,0.0,0.0,0.0,0.340613,3819.16,0.313,0.262
0.0,6936.8223,0.0,0.0,0.0,3.501935,7242.11,0.203,0.389
0.0,0.0,0.0,0.0,98.3441,0.130042,273.76,0.484,0.143
13.5928,16.515,0.0,0.0,0.0,0.148619,498.17,0.226,0.314
475.8153,483.7032,0.0,516.1327,0.0,1.804604,1760.84,0.163,0.312
0.0,0.0,0.0,0.0,163.9191,0.187756,459.08,0.15,0.187
0.0,0.0,477.5576,0.0,0.0,0.497565,748.55,0.471,0.132
85.6204,80.6079,0.0,0.0,0.0,0.388358,226.22,0.227,0.4
0.0,0.0,0.0,0.0,61.923,0.091873,314.01,0.331,0.271
964.4899,967.7311,0.0,0.0,0.0,1.703362,2105.46,0.268,0.33
50.0726,75.6991,0.0,0.0,0.0,0.316441,549.69,0.128,0.107
0.0,0.0,257.931,0.0,0.0,0.493023,467.82,0.37,0.119
0.0,0.0,147.6452,0.0,0.0,0.489035,425.18,0.476,0.363
0.0,0.0,0.0,435.3345,0.0,0.116426,847.88,0.19,0.168
1070.3672,40.5332,0.0,3.8843,0.3801,0.590919,1177.6,0.364,0.286
0.0,0.0,0.0,0.0,126.0864,0.155241,545.31,0.404,0.115
65.0902,235.5043,0.0,0.0,0.0,0.485324,561.49,0.183,0.28
89.1524,81.0825,0.0,0.0,0.0,0.386395,271.13,0.22,0.373
0.0,0.0,0.0,313.6645,0.0,0.087006,566.19,0.235,0.361
0.0,1995.4245,0.0,0.0,0.0,1.290902,2192.54,0.16,0.192
7259.776,0.0,0.0,0.0,0.0,0.37126,7354.52,0.197,0.317
89.9748,79.673,0.0,0.0,0.0,0.38459,283.48,0.223,0.348
0.0,0.0,0.0,246.4098,0.0,0.068678,586.92,0.118,0.384
1000.9824,40.0269,0.0,3.606,0.4092,0.59108,1431.52,0.335,0.286
0.0,154.9873,20.7612,0.0,0.0,0.509626,232.69,0.427,0.32
0.0,0.0,0.0,0.0,298.2335,0.259415,543.01,0.314,0.243
1937.8034,1938.3775,0.0,0.0,0.0,2.454976,3993.43,0.155,0.119
519.7054,523.229,19.9574,0.0,0.0,1.457659,1426.61,0.461,0.218
1003.3338,2071.599,0.0,0.0,0.0,2.37418,3353.49,0.153,0.4
0.0,8670.315,0.0,0.0,0.0,3.792236,8760.19,0.188,0.279
970.4467,1043.2682,0.0,0.0,0.0,1.690427,2317.24,0.243,0.289
1010.5093,39.441,0.0,3.7024,0.4148,0.596029,1200.13,0.337,0.331
46.735,74.6156,0.0,0.0,0.0,0.317114,477.89,0.148,0.119
8093.7641,0.0,0.0,0.0,0.0,0.365132,8510.89,0.19,0.167
65.6874,253.2015,0.0,0.0,0.0,0.486087,786.44,0.179,0.288
475.3565,509.0849,0.0,515.7592,0.0,1.807577,1766.18,0.183,0.321
0.0,0.0,0.0,400.7229,0.0,0.110342,717.78,0.106,0.319
950.8236,1037.9721,0.0,0.0,0.0,1.6991,2236.95,0.274,0.317
0.0,6855.6529,0.0,0.0,0.0,3.483696,7319.38,0.299,0.398
13.1869,16.7158,0.0,0.0,0.0,0.149044,328.95,0.209,0.329
2580.0099,0.0,0.0,0.0,0.0,0.319144,2724.47,0.459,0.162
478.5226,458.5504,2.7557,3.3408,0.1907,1.142785,1286.49,0.499,0.207
238.4446,304.3011,0.0,0.0,0.0,0.692905,953.61,0.157,0.175
450.724,452.793,2.809,3.4369,0.1979,1.147174,1394.13,0.5,0.227
181.3662,75.2384,0.0,0.0,0.0,0.429842,331.95,0.267,0.249
65.7516,230.2087,0.0,0.0,0.0,0.48939,638.05,0.163,0.324
4282.2989,0.0,0.0,0.0,0.0,0.346126,4361.71,0.226,0.262
0.0,9309.487,0.0,0.0,0.0,3.895423,9643.58,0.337,0.311
86.4147,78.6471,0.0,0.0,0.0,0.388377,524.34,0.218,0.4
0.0,0.0,0.0,0.0,241.3006,0.23395,321.03,0.489,0.208
8022.128,0.0,0.0,0.0,0.0,0.377211,8313.37,0.224,0.344
0.0,484.7116,19.8311,0.0,0.0,0.716439,902.94,0.156,0.121
2036.4958,1920.3149,0.0,0.0,0.0,2.456366,4094.94,0.152,0.121
0.0,4888.4658,0.0,0.0,0.0,2.736962,5145.63,0.446,0.264
0.0,505.5677,0.0,475.3849,0.0,1.252884,1347.81,0.239,0.227
472.9874,460.5076,2.9111,3.5428,0.2082,1.146075,1227.41,0.468,0.222
257.9456,104.7895,0.0,0.0,0.0,0.525328,472.35,0.171,0.365
0.0,0.0,353.5432,0.0,0.0,0.509958,516.02,0.306,0.261
451.0537,459.1657,2.6672,3.3682,0.1906,1.141089,1133.36,0.463,0.199
0.0,0.0,0.0,0.0,426.9714,0.290745,484.18,0.485,0.213
983.6965,1959.1627,0.0,0.0,0.0,2.374436,3047.59,0.132,0.4
85.1285,81.5699,0.0,0.0,0.0,0.38733,425.76,0.248,0.386
0.0,299.7359,0.0,0.0,0.0,0.217077,762.87,0.212,0.358
92.844,77.2531,0.0,0.0,0.0,0.38683,245.81,0.255,0.38
0.0,6315.6022,0.0,0.0,0.0,3.168682,6693.88,0.406,0.148
523.369,216.858,14.9545,0.0,1.1226,1.248479,983.45,0.453,0.214
62.3151,235.2954,0.0,0.0,0.0,0.48723,466.32,0.152,0.3
0.0,516.4054,0.0,519.1303,0.0,1.260581,1283.12,0.252,0.259
2279.9693,0.0,0.0,0.0,0.0,0.318255,2366.07,0.31,0.223
9367.3505,0.0,0.0,0.0,0.0,0.385641,9641.62,0.268,0.374
9004.2602,0.0,0.0,0.0,0.0,0.364811,9376.45,0.364,0.108
2005.6117,1982.2455,0.0,0.0,0.0,2.458518,4057.46,0.144,0.126
0.0,0.0,0.0,0.0,60.6515,0.088353,479.51,0.5,0.163
166.3024,74.8101,0.0,0.0,0.0,0.429505,645.25,0.268,0.245
0.0,0.0,383.058,0.0,0.0,0.512063,639.58,0.393,0.282
0.0,0.0,0.0,123.3293,0.0,0.034112,513.14,0.335,0.349
50.6981,73.4591,0.0,0.0,0.0,0.317519,413.55,0.15,0.125
0.0,3592.3337,0.0,0.0,0.0,2.113195,3916.17,0.24,0.134
0.0,0.0,0.0,46.1803,0.0,0.012231,426.64,0.184,0.118
0.0,502.0717,19.0369,0.0,0.0,0.719728,962.1,0.149,0.145
0.0,6000.2055,0.0,0.0,0.0,3.161734,6247.99,0.142,0.292
0.0,147.352,19.7031,0.0,0.0,0.511354,231.25,0.479,0.339
0.0,0.0,180.0252,0.0,0.0,0.49617,405.18,0.192,0.279
9361.5988,0.0,0.0,0.0,0.0,0.3724,9571.18,0.215,0.189
0.0,0.0,0.0,0.0,188.527,0.203324,332.62,0.152,0.161
48.3777,71.401,0.0,0.0,0.0,0.316656,550.01,0.127,0.111
6919.1985,0.0,0.0,0.0,0.0,0.35998,7205.76,0.169,0.182
554.2431,226.9886,14.918,0.0,1.1327,1.248447,863.03,0.493,0.215
13.2479,17.0578,0.0,0.0,0.0,0.149254,481.25,0.231,0.337
0.0,0.0,0.0,0.0,145.9556,0.180518,388.06,0.288,0.379
1026.1805,982.9096,0.0,0.0,0.0,1.704469,2277.71,0.241,0.333
953.0787,1022.3803,0.0,0.0,0.0,1.689079,2327.55,0.289,0.286
0.0,4069.0796,0.0,0.0,0.0,2.355035,4376.5,0.305,0.188
971.5071,2031.2456,0.0,0.0,0.0,2.373613,3415.29,0.141,0.398
479.8123,504.4606,0.0,0.0,0.0,0.933785,1086.55,0.27,0.195
169.1495,75.0567,0.0,0.0,0.0,0.431556,640.6,0.298,0.271
0.0,0.0,0.0,0.0,167.3945,0.189013,541.6,0.213,0.155
952.028,1012.2315,0.0,0.0,0.0,1.688569,2167.03,0.273,0.284
0.0,0.0,142.137,0.0,0.0,0.480244,627.77,0.127,0.294
8631.1438,0.0,0.0,0.0,0.0,0.367495,9110.47,0.342,0.169
651.2639,0.0,0.0,0.0,0.0,0.273498,1087.55,0.272,0.325
0.0,4523.1828,0.0,0.0,0.0,2.646547,4770.92,0.345,0.383
63.3198,242.2353,0.0,0.0,0.0,0.485076,513.18,0.167,0.277
1038.9694,2021.7375,0.0,0.0,0.0,2.374164,3245.17,0.155,0.4
0.0,0.0,0.0,0.0,368.9639,0.281052,561.57,0.207,0.252
260.0408,104.2619,0.0,0.0,0.0,0.524686,715.49,0.182,0.359
0.0,0.0,224.6749,0.0,0.0,0.491483,558.81,0.313,0.135
492.9161,507.6645,0.0,484.1831,0.0,1.807549,1747.0,0.165,0.321
0.0,0.0,0.0,0.0,267.6739,0.241519,600.6,0.206,0.112
0.0,4217.2093,0.0,0.0,0.0,2.453122,4641.47,0.209,0.255
9717.8434,0.0,0.0,0.0,0.0,0.383401,10202.11,0.15,0.319
1031.8212,1901.1304,0.0,0.0,0.0,2.363336,3375.37,0.136,0.375
0.0,0.0,0.0,464.3153,0.0,0.124939,776.1,0.261,0.201
8872.2177,0.0,0.0,0.0,0.0,0.372096,9079.98,0.336,0.218
0.0,0.0,0.0,0.0,96.0117,0.129537,432.8,0.128,0.208
67.2647,230.3937,0.0,0.0,0.0,0.488028,475.22,0.175,0.309
0.0,513.7031,19.3023,0.0,0.0,0.71762,973.34,0.148,0.13
1695.5919,0.0,0.0,0.0,0.0,0.306684,2091.31,0.267,0.226
0.0,0.0,302.8896,0.0,0.0,0.52158,487.8,0.359,0.392
0.0,0.0,0.0,3.439,0.0,0.000927,251.37,0.358,0.214
0.0,8707.5345,0.0,0.0,0.0,3.686206,9176.82,0.259,0.126
89.9407,80.5157,0.0,0.0,0.0,0.386553,418.23,0.216,0.375
0.0,143.4117,20.7966,0.0,0.0,0.511383,404.27,0.433,0.338
0.0,0.0,425.174,0.0,0.0,0.515081,825.77,0.344,0.31
0.0,51.4267,19.2441,0.0,0.0,0.405661,371.27,0.225,0.207
0.0,0.0,135.1966,0.0,0.0,0.470817,376.38,0.463,0.252
501.0634,483.605,0.0,0.0,0.0,0.932849,1127.0,0.283,0.19
12.8389,17.7524,0.0,0.0,0.0,0.148643,172.26,0.224,0.315
2518.4215,0.0,0.0,0.0,0.0,0.33018,2901.93,0.33,0.353
0.0,7271.6907,0.0,0.0,0.0,3.506447,7350.87,0.332,0.268
0.0,0.0,0.0,20.9576,0.0,0.005601,162.87,0.267,0.166
0.0,7734.7313,0.0,0.0,0.0,3.509376,8077.67,0.318,0.119
0.0,0.0,417.7401,0.0,0.0,0.498951,621.93,0.446,0.146
0.0,507.7616,19.6806,0.0,0.0,0.717639,642.95,0.163,0.13
0.0,0.0,0.0,400.4904,0.0,0.110959,825.17,0.422,0.36
0.0,0.0,0.0,0.0,455.4131,0.304149,711.47,0.258,0.36
1744.3248,0.0,0.0,0.0,0.0,0.306546,2208.26,0.239,0.204
0.0,0.0,0.0,16.2217,0.0,0.004331,315.28,0.328,0.163
459.0,442.0,2.8,3.4,0.2,1.143178,960.32,0.496,0.209
476.4432,494.7544,20.861,0.0,0.0,1.450444,1440.31,0.453,0.192
50.385,73.6694,0.0,0.0,0.0,0.317774,353.22,0.143,0.129
521.771,219.8165,14.5302,0.0,1.1197,1.256038,1026.62,0.431,0.245
513.8076,499.3205,0.0,0.0,0.0,0.935617,1412.85,0.253,0.204
976.5181,1033.5246,0.0,0.0,0.0,1.699616,2162.26,0.257,0.318
238.3122,100.9528,0.0,0.0,0.0,0.527416,417.89,0.171,0.386
168.9825,73.6666,0.0,0.0,0.0,0.43003,440.84,0.268,0.251
3867.8441,0.0,0.0,0.0,0.0,0.335064,4121.44,0.156,0.153
0.0,0.0,0.0,328.5152,0.0,0.08848,411.25,0.212,0.205
0.0,3797.8578,0.0,0.0,0.0,2.214264,4248.4,0.238,0.146
955.8591,1943.0964,0.0,0.0,0.0,2.371461,3031.15,0.147,0.394
0.0,146.3681,19.1884,0.0,0.0,0.511793,371.78,0.47,0.344
564.5361,214.9132,15.4502,0.0,1.1186,1.253559,1220.54,0.481,0.236
506.5868,513.2325,20.557,0.0,0.0,1.448202,1529.31,0.5,0.185
0.0,5929.5085,0.0,0.0,0.0,3.068267,6047.57,0.19,0.175
47.6035,75.5957,0.0,0.0,0.0,0.316906,174.38,0.14,0.115
0.0,0.0,0.0,171.0538,0.0,0.046219,395.07,0.12,0.219
2009.8503,1954.6058,0.0,0.0,0.0,2.449787,4291.87,0.143,0.107
0.0,6668.6426,0.0,0.0,0.0,3.259535,6889.82,0.491,0.133
0.0,0.0,0.0,491.7836,0.0,0.133411,965.45,0.17,0.241
0.0,0.0,0.0,215.6169,0.0,0.059816,353.95,0.109,0.358
499.9312,505.4246,0.0,495.0726,0.0,1.802795,1552.03,0.172,0.307
0.0,0.0,0.0,164.0897,0.0,0.045003,600.69,0.3,0.302
0.0,0.0,0.0,234.0345,0.0,0.064459,462.68,0.163,0.321
6335.5903,0.0,0.0,0.0,0.0,0.360235,6648.12,0.26,0.239
259.334,95.5976,0.0,0.0,0.0,0.521762,635.37,0.184,0.329
0.0,0.0,0.0,219.0893,0.0,0.058126,478.49,0.105,0.124
0.0,1809.7695,0.0,0.0,0.0,1.187998,1922.43,0.313,0.223
0.0,0.0,24.093,0.0,0.0,0.19018,414.62,0.277,0.312
0.0,0.0,0.0,466.6025,0.0,0.123346,795.23,0.175,0.108
13.1291,16.9598,0.0,0.0,0.0,0.148816,389.22,0.245,0.321
6075.7625,0.0,0.0,0.0,0.0,0.356701,6571.49,0.265,0.212
0.0,517.6882,0.0,508.0701,0.0,1.256159,1308.1,0.229,0.24
0.0,2192.1399,0.0,0.0,0.0,1.394817,2568.83,0.427,0.164
0.0,1119.1962,0.0,0.0,0.0,0.780534,1406.53,0.388,0.367
443.3558,448.9602,2.9036,3.5334,0.2029,1.147682,1185.43,0.479,0.229
438.5018,446.7868,2.8603,3.3568,0.2036,1.13916,1262.54,0.5,0.191
0.0,0.0,0.0,0.0,324.2323,0.268498,453.38,0.194,0.248
251.3824,300.8274,0.0,0.0,0.0,0.690725,741.43,0.153,0.159
13.0779,16.6616,0.0,0.0,0.0,0.148705,320.4,0.218,0.317
0.0,143.0438,20.7123,0.0,0.0,0.514823,276.39,0.471,0.375
0.0,0.0,341.3086,0.0,0.0,0.494853,619.82,0.268,0.105
549.2177,215.4102,14.3513,0.0,1.1533,1.257792,1040.98,0.5,0.254
0.0,157.1384,20.8782,0.0,0.0,0.514771,306.97,0.492,0.375
0.0,519.7128,0.0,0.0,0.0,0.358354,867.33,0.174,0.152
0.0,9963.3392,0.0,0.0,0.0,3.797365,10366.05,0.322,0.102
0.0,0.0,0.0,58.1792,0.0,0.015502,490.27,0.253,0.15
8154.7619,0.0,0.0,0.0,0.0,0.368488,8272.45,0.338,0.214
255.3402,97.0751,0.0,0.0,0.0,0.522478,837.38,0.167,0.336
454.2523,424.8158,2.6689,3.4533,0.2022,1.139614,1254.15,0.5,0.193
0.0,0.0,11.676,0.0,0.0,0.104595,263.13,0.154,0.387
0.0,0.0,0.0,0.0,484.9094,0.29811,978.69,0.428,0.184
239.2638,104.3403,0.0,0.0,0.0,0.526478,684.99,0.185,0.377
242.1727,95.6666,0.0,0.0,0.0,0.525361,552.25,0.18,0.366
0.0,4197.2732,0.0,0.0,0.0,2.399393,4578.87,0.445,0.165
0.0,2131.047,0.0,0.0,0.0,1.35204,2304.42,0.132,0.126
0.0,0.0,0.0,0.0,170.8206,0.19732,481.73,0.167,0.314
0.0,0.0,135.1238,0.0,0.0,0.462899,480.61,0.196,0.157
959.3328,1934.5315,0.0,0.0,0.0,2.349375,3245.66,0.158,0.344
242.8866,96.2048,0.0,0.0,0.0,0.528415,768.23,0.169,0.397
977.4637,977.3081,0.0,0.0,0.0,1.700738,2331.8,0.284,0.322
0.0,4437.5022,0.0,0.0,0.0,2.478421,4622.47,0.397,0.114
511.4752,505.1025,0.0,519.9406,0.0,1.824798,1937.93,0.182,0.372
67.2503,240.8462,0.0,0.0,0.0,0.486818,599.93,0.152,0.296
260.8706,310.0487,0.0,0.0,0.0,0.69085,832.74,0.137,0.159
0.0,0.0,0.0,439.6651,0.0,0.122258,520.09,0.39,0.379
0.0,0.0,397.1053,0.0,0.0,0.49551,709.8,0.481,0.113
483.8521,506.7,0.0,0.0,0.0,0.933267,1315.28,0.26,0.192
475.9285,519.4321,0.0,0.0,0.0,0.933485,1388.55,0.251,0.193
165.1091,75.6308,0.0,0.0,0.0,0.43131,592.22,0.265,0.267
253.8499,303.5576,0.0,0.0,0.0,0.691248,1022.86,0.153,0.163
1771.7651,0.0,0.0,0.0,0.0,0.301281,2077.34,0.466,0.11
1042.9116,972.2521,0.0,0.0,0.0,1.7051,2165.7,0.241,0.335
0.0,509.3117,19.0684,0.0,0.0,0.717946,839.03,0.152,0.132
1974.2834,1907.878,0.0,0.0,0.0,2.458118,4347.98,0.14,0.125
0.0,0.0,201.4366,0.0,0.0,0.494687,680.2,0.231,0.206
0.0,0.0,0.0,420.4544,0.0,0.113371,781.7,0.486,0.218
13.4148,17.0801,0.0,0.0,0.0,0.148187,508.26,0.248,0.299
0.0,0.0,0.0,179.6044,0.0,0.049946,530.6,0.419,0.38
0.0,0.0,0.0,409.3701,0.0,0.111807,789.94,0.11,0.275
489.8545,503.8601,20.0894,0.0,0.0,1.449328,1206.25,0.5,0.189
1052.8563,40.6188,0.0,3.8193,0.3887,0.594888,1266.29,0.322,0.32
0.0,0.0,0.0,0.0,102.0322,0.133171,467.71,0.284,0.117
1966.0622,2036.3029,0.0,0.0,0.0,2.457014,4174.8,0.14,0.122
0.0,0.0,0.0,0.0,423.7738,0.28633,664.1,0.418,0.142
0.0,143.5437,19.9927,0.0,0.0,0.511346,605.22,0.433,0.338
0.0,8447.8323,0.0,0.0,0.0,3.699503,8700.5,0.402,0.204
0.0,0.0,0.0,484.8618,0.0,0.134638,718.18,0.309,0.369
0.0,491.5108,20.0713,0.0,0.0,0.718796,627.23,0.155,0.138
0.0,6765.1339,0.0,0.0,0.0,3.393082,6988.16,0.295,0.296
0.0,0.0,0.0,0.0,259.0052,0.246498,631.91,0.411,0.302
463.4214,438.2779,2.744,3.2465,0.2049,1.144474,1293.64,0.5,0.215
0.0,6034.4859,0.0,0.0,0.0,3.113012,6496.97,0.272,0.196
262.4212,99.3034,0.0,0.0,0.0,0.521762,688.67,0.166,0.329
0.0,8948.1666,0.0,0.0,0.0,3.839805,9334.8,0.425,0.297
0.0,0.0,0.0,95.3049,0.0,0.025815,445.24,0.132,0.233
0.0,49.8227,20.4962,0.0,0.0,0.407908,546.57,0.232,0.236
2288.5986,0.0,0.0,0.0,0.0,0.319459,2616.81,0.248,0.239
